"level","correct","negative","optimistic","mb"
0,1,0,0,0
1,0.1811545485,0.01693277049,0.801912693,0.166828469
2,0.0793962113,0.01219417232,0.908409618,0.512226659
3,0.0842250591,0.02087222347,0.894902718,0.4315152731
4,0.2193889825,0.06736778321,0.713243227,0.098919424
