"level","0","1","2","3","4","total"
0,0.0343696128477,0.0430783882549,0.09382210665058,0.03108280400326,0.01552715536318,0.2178800597612
1,0.04409733599032,0.04374534081263,0.0997113193886,0.04677706499373,0.00486455616439,0.2391956095051
2,0.03983165802746,0.08345005748619,0.14296717779348,0.040958214966411,0.004667904736817,0.3118749863722
3,0.04199909221467,0.08418983267558,0.0425096073029,0.006365787486465,0.0008697518517091,0.1759340479961
4,0.03730575412368,0.01462767251253,0.002747310577975,0.0003843484313225,5.018657032813e-05,0.0551152641902
