"level","correct","negative","optimistic","mb"
0,1,0,0,0
1,0.145464859,0.0124481005,0.84208706,0.16660183
2,0.049311698,0.0044521996,0.9462361,0.54251758
3,0.039049446,0.00537349017,0.95557709,0.50388851
4,0.111746771,0.0222868443,0.86596639,0.11291062
