"level","correct","negative","optimistic","mb"
0,1,0,0,0
1,0.149426566,0.01265458781,0.83791884,0.1503374755
2,0.065817685,0.00633367052,0.927848663,0.5725475989
3,0.0622396963,0.009153422336,0.92860691,0.58361166086
4,0.1295704614,0.025007159611,0.8454224236,0.124167241668
